Month               First Day           Day of the Week     
December            13849               Wednesday           
January             13880               Saturday            
February            13911               Tuesday             
March               13939               Tuesday             
April               13970               Friday              
May                 14000               Sunday              
June                14031               Wednesday           
July                14061               Friday              
August              14092               Monday              
September           14123               Thursday            
October             14153               Saturday            
November            14184               Tuesday             
December            14214               Thursday            
January             14245               Sunday              
February            14276               Wednesday           
March               14304               Wednesday           
April               14335               Saturday            
May                 14365               Monday              
June                14396               Thursday            
July                14426               Saturday            
August              14457               Tuesday             
September           14488               Friday              
October             14518               Sunday              
November            14549               Wednesday           
December            14579               Friday              
January             14610               Monday              
February            14641               Thursday            
March               14670               Friday              
April               14701               Monday              
May                 14731               Wednesday           
June                14762               Saturday            
July                14792               Monday              
August              14823               Thursday            
September           14854               Sunday              
October             14884               Tuesday             
November            14915               Friday              
December            14945               Sunday              
January             14976               Wednesday           
February            15007               Saturday            
March               15035               Saturday            
April               15066               Tuesday             
May                 15096               Thursday            
June                15127               Sunday              
July                15157               Tuesday             
August              15188               Friday              
September           15219               Monday              
October             15249               Wednesday           
November            15280               Saturday            
December            15310               Monday              
January             15341               Thursday            
February            15372               Sunday              
March               15400               Sunday              
April               15431               Wednesday           
May                 15461               Friday              
June                15492               Monday              
July                15522               Wednesday           
August              15553               Saturday            
September           15584               Tuesday             
October             15614               Thursday            
November            15645               Sunday              
December            15675               Tuesday             
January             15706               Friday              
February            15737               Monday              
March               15765               Monday              
April               15796               Thursday            
May                 15826               Saturday            
June                15857               Tuesday             
July                15887               Thursday            
August              15918               Sunday              
September           15949               Wednesday           
October             15979               Friday              
November            16010               Monday              
December            16040               Wednesday           
January             16071               Saturday            
February            16102               Tuesday             
March               16131               Wednesday           
April               16162               Saturday            
May                 16192               Monday              
June                16223               Thursday            
July                16253               Saturday            
August              16284               Tuesday             
September           16315               Friday              
October             16345               Sunday              
November            16376               Wednesday           
December            16406               Friday              
January             16437               Monday              
February            16468               Thursday            
March               16496               Thursday            
April               16527               Sunday              
May                 16557               Tuesday             
June                16588               Friday              
July                16618               Sunday              
August              16649               Wednesday           
September           16680               Saturday            
October             16710               Monday              
November            16741               Thursday            
December            16771               Saturday            
January             16802               Tuesday             
February            16833               Friday              
March               16861               Friday              
April               16892               Monday              
May                 16922               Wednesday           
June                16953               Saturday            
July                16983               Monday              
August              17014               Thursday            
September           17045               Sunday              
October             17075               Tuesday             
November            17106               Friday              
December            17136               Sunday              
January             17167               Wednesday           
February            17198               Saturday            
March               17226               Saturday            
April               17257               Tuesday             
May                 17287               Thursday            
June                17318               Sunday              
July                17348               Tuesday             
August              17379               Friday              
September           17410               Monday              
October             17440               Wednesday           
November            17471               Saturday            
December            17501               Monday              
January             17532               Thursday            
February            17563               Sunday              
March               17592               Monday              
April               17623               Thursday            
May                 17653               Saturday            
June                17684               Tuesday             
July                17714               Thursday            
August              17745               Sunday              
September           17776               Wednesday           
October             17806               Friday              
November            17837               Monday              
December            17867               Wednesday           
January             17898               Saturday            
February            17929               Tuesday             
March               17957               Tuesday             
April               17988               Friday              
May                 18018               Sunday              
June                18049               Wednesday           
July                18079               Friday              
August              18110               Monday              
September           18141               Thursday            
October             18171               Saturday            
November            18202               Tuesday             
December            18232               Thursday            
January             18263               Sunday              
February            18294               Wednesday           
March               18322               Wednesday           
April               18353               Saturday            
May                 18383               Monday              
June                18414               Thursday            
July                18444               Saturday            
August              18475               Tuesday             
September           18506               Friday              
October             18536               Sunday              
November            18567               Wednesday           
December            18597               Friday              
January             18628               Monday              
February            18659               Thursday            
March               18687               Thursday            
April               18718               Sunday              
May                 18748               Tuesday             
June                18779               Friday              
July                18809               Sunday              
August              18840               Wednesday           
September           18871               Saturday            
October             18901               Monday              
November            18932               Thursday            
December            18962               Saturday            
January             18993               Tuesday             
February            19024               Friday              
March               19053               Saturday            
April               19084               Tuesday             
May                 19114               Thursday            
June                19145               Sunday              
July                19175               Tuesday             
August              19206               Friday              
September           19237               Monday              
October             19267               Wednesday           
November            19298               Saturday            
December            19328               Monday              
January             19359               Thursday            
February            19390               Sunday              
March               19418               Sunday              
April               19449               Wednesday           
May                 19479               Friday              
June                19510               Monday              
July                19540               Wednesday           
August              19571               Saturday            
September           19602               Tuesday             
October             19632               Thursday            
November            19663               Sunday              
December            19693               Tuesday             
January             19724               Friday              
February            19755               Monday              
March               19783               Monday              
April               19814               Thursday            
May                 19844               Saturday            
June                19875               Tuesday             
July                19905               Thursday            
August              19936               Sunday              
September           19967               Wednesday           
October             19997               Friday              
November            20028               Monday              
December            20058               Wednesday           
January             20089               Saturday            
February            20120               Tuesday             
March               20148               Tuesday             
April               20179               Friday              
May                 20209               Sunday              
June                20240               Wednesday           
July                20270               Friday              
August              20301               Monday              
September           20332               Thursday            
October             20362               Saturday            
November            20393               Tuesday             
December            20423               Thursday            
January             20454               Sunday              
February            20485               Wednesday           
March               20514               Thursday            
April               20545               Sunday              
May                 20575               Tuesday             
June                20606               Friday              
July                20636               Sunday              
August              20667               Wednesday           
September           20698               Saturday            
October             20728               Monday              
November            20759               Thursday            
December            20789               Saturday            
January             20820               Tuesday             
February            20851               Friday              
March               20879               Friday              
April               20910               Monday              
May                 20940               Wednesday           
June                20971               Saturday            
July                21001               Monday              
August              21032               Thursday            
September           21063               Sunday              
October             21093               Tuesday             
November            21124               Friday              
December            21154               Sunday              
January             21185               Wednesday           
February            21216               Saturday            
March               21244               Saturday            
April               21275               Tuesday             
May                 21305               Thursday            
June                21336               Sunday              
July                21366               Tuesday             
August              21397               Friday              
September           21428               Monday              
October             21458               Wednesday           
November            21489               Saturday            
December            21519               Monday              
January             21550               Thursday            
February            21581               Sunday              
March               21609               Sunday              
April               21640               Wednesday           
May                 21670               Friday              
June                21701               Monday              
July                21731               Wednesday           
August              21762               Saturday            
September           21793               Tuesday             
October             21823               Thursday            
November            21854               Sunday              
December            21884               Tuesday             
January             21915               Friday              
February            21946               Monday              
March               21975               Tuesday             
April               22006               Friday              
May                 22036               Sunday              
June                22067               Wednesday           
July                22097               Friday              
August              22128               Monday              
September           22159               Thursday            
October             22189               Saturday            
November            22220               Tuesday             
December            22250               Thursday            
January             22281               Sunday              
February            22312               Wednesday           
March               22340               Wednesday           
April               22371               Saturday            
May                 22401               Monday              
June                22432               Thursday            
July                22462               Saturday            
August              22493               Tuesday             
September           22524               Friday              
October             22554               Sunday              
November            22585               Wednesday           
December            22615               Friday              
January             22646               Monday              
February            22677               Thursday            
March               22705               Thursday            
April               22736               Sunday              
May                 22766               Tuesday             
June                22797               Friday              
July                22827               Sunday              
August              22858               Wednesday           
September           22889               Saturday            
October             22919               Monday              
November            22950               Thursday            
December            22980               Saturday            
January             23011               Tuesday             
February            23042               Friday              
March               23070               Friday              
April               23101               Monday              
May                 23131               Wednesday           
June                23162               Saturday            
July                23192               Monday              
August              23223               Thursday            
September           23254               Sunday              
October             23284               Tuesday             
November            23315               Friday              
December            23345               Sunday              
January             23376               Wednesday           
February            23407               Saturday            
March               23436               Sunday              
April               23467               Wednesday           
